,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,lat,long,Regionname,Propertycount
3216,Bentleigh East,23 York St,4,h,1035000,PI,First,16/04/2016,13.9,3165,3,1,2,610,160.0,1950,Glen Eira City Council,-37.9193,145.0691,Southern Metropolitan,10969
3217,Moorabbin,8 Barilla Rd,4,h,1035000,S,Buxton,28/05/2016,14.6,3189,3,1,2,688,161.0,1950,Kingston City Council,-37.9411,145.043,Southern Metropolitan,2555
3218,Oakleigh,13 Hilbert Ct,3,h,1033000,S,Buxton,18/03/2017,14.0,3166,3,1,2,548,115.0,1975,Monash City Council,-37.8951,145.101,Southern Metropolitan,3224
3219,Burwood East,18 Hale Ct,4,h,1032000,S,Barry,3/06/2017,14.7,3151,4,2,2,599,120.0,1960,Whitehorse City Council,-37.848,145.14165,Eastern Metropolitan,4048
3220,Seddon,54 Charles St,3,h,1032000,SP,Village,25/02/2017,6.6,3011,3,1,0,224,136.0,1900,Maribyrnong City Council,-37.8067,144.8934,Western Metropolitan,2417
3221,Kensington,94 McConnell St,2,h,1031000,SP,Woodards,8/10/2016,4.2,3031,2,1,1,163,99.0,1900,Melbourne City Council,-37.7929,144.9287,Northern Metropolitan,5263
3222,Williamstown,77 Merrett Dr,3,h,1031000,SP,Williams,26/08/2017,6.8,3016,3,2,2,333,133.0,1995,Hobsons Bay City Council,-37.85927,144.87904,Western Metropolitan,6380
3223,Bonbeach,2 Royal Rd,3,h,1031000,S,O'Brien,28/10/2017,27.0,3196,3,2,3,564,150.0,1950,Kingston City Council,-38.06087,145.12686000000002,South-Eastern Metropolitan,2887
3224,Abbotsford,27 Charles St,2,h,1030000,S,Biggin,30/07/2016,2.5,3067,2,1,1,172,81.0,1930,Yarra City Council,-37.8086,144.9946,Northern Metropolitan,4019
3225,Port Melbourne,55/4 Seisman Pl,2,u,1030000,S,Buxton,29/04/2017,3.8,3207,2,2,2,21715,99.0,2005,Melbourne City Council,-37.8424,144.9449,Southern Metropolitan,8648
3226,Doncaster,2 Louise Ct,3,h,1030000,S,Ray,17/09/2016,13.9,3108,3,1,1,827,100.0,1960,Manningham City Council,-37.7848,145.1029,Eastern Metropolitan,9028
3227,Blackburn South,1A Vernon St,3,h,1030000,PI,Noel,10/02/2018,13.4,3130,3,2,1,345,125.0,2000,Whitehorse City Council,-37.833529999999996,145.15851999999998,Eastern Metropolitan,4387
3228,Newport,31 Milford St,2,h,1030000,S,Village,15/10/2016,8.4,3015,2,1,2,470,136.0,1930,Hobsons Bay City Council,-37.8471,144.8769,Western Metropolitan,5498
3229,Blackburn North,7 Kent Cl,3,h,1030000,S,Fletchers,9/12/2017,13.4,3130,3,2,1,568,137.0,1968,Whitehorse City Council,-37.80265,145.16099,Eastern Metropolitan,2867
3230,Caulfield South,1/2 Griffiths St,4,t,1030000,VB,Gary,10/12/2016,9.3,3162,4,2,2,216,165.0,1995,Glen Eira City Council,-37.8887,145.0318,Southern Metropolitan,5051
3231,Highett,1/1 Peterson St,3,t,1030000,PI,Hodges,29/07/2017,16.0,3190,3,2,2,240,180.0,2006,Bayside City Council,-37.9461,145.02432,Southern Metropolitan,4794
3232,Reservoir,39 Kinsale St,4,h,1030000,S,McGrath,7/11/2016,11.2,3073,4,2,3,630,190.0,1935,Darebin City Council,-37.721,144.9952,Northern Metropolitan,21650
3233,Maribyrnong,31 Monash St,4,h,1030000,S,Jas,28/05/2016,8.7,3032,4,2,1,573,196.0,1925,Maribyrnong City Council,-37.7844,144.8876,Western Metropolitan,4918
3234,Sunshine,1 Walter St,4,h,1030000,S,Sweeney,7/05/2016,12.6,3020,4,2,2,803,309.0,2002,Brimbank City Council,-37.7932,144.8434,Western Metropolitan,3755
3235,Briar Hill,77 Karingal Dr,4,h,1030000,S,Nelson,26/08/2017,16.1,3088,4,3,3,1061,312.0,1960,Banyule City Council,-37.705909999999996,145.13005,Eastern Metropolitan,1390
3236,Heidelberg,36 Buckingham Dr,3,h,1030000,S,Miles,30/07/2016,10.6,3084,5,3,2,649,357.0,2017,Banyule City Council,-37.7501,145.0822,Eastern Metropolitan,2890
3237,Mount Waverley,15 Anthony Dr,3,h,1028800,S,Jellis,26/08/2017,14.2,3149,3,2,1,470,118.0,1960,Monash City Council,-37.88751,145.13545,Eastern Metropolitan,13366
3238,Brunswick,234 Victoria St,2,h,1026000,S,Nelson,3/09/2016,5.2,3056,2,1,0,225,108.0,1905,Moreland City Council,-37.7676,144.9665,Northern Metropolitan,11918
3239,Middle Park,15 Fraser St,2,h,1025000,S,Marshall,23/04/2016,4.1,3206,2,1,0,123,73.0,1910,Port Phillip City Council,-37.8551,144.968,Southern Metropolitan,2019
3240,Richmond,32 Duke St,2,h,1025000,S,Jellis,4/06/2016,2.6,3121,2,1,1,169,92.0,1900,Yarra City Council,-37.8235,145.0035,Northern Metropolitan,14949
3241,Coburg,32A Kelson St,3,h,1025000,VB,Jellis,25/02/2017,7.8,3058,3,1,3,336,112.0,1950,Darebin City Council,-37.7408,144.9558,Northern Metropolitan,11204
3242,Bentleigh East,1/41 Elizabeth St,3,u,1025000,S,Woodards,4/03/2017,13.9,3165,3,2,2,384,120.0,1999,Glen Eira City Council,-37.9229,145.0557,Southern Metropolitan,10969
3243,Reservoir,1 Mendip Rd,3,h,1025000,S,RW,27/11/2016,11.2,3073,3,1,4,670,134.0,1935,Darebin City Council,-37.7242,145.0154,Northern Metropolitan,21650
3244,Oakleigh,197 Huntingdale Rd,3,h,1025000,S,Ray,25/02/2017,14.0,3166,3,1,2,543,139.0,1940,Monash City Council,-37.9023,145.105,Southern Metropolitan,3224
3245,Essendon,24 Butler St,3,h,1025000,S,Nelson,3/06/2017,7.5,3040,3,2,2,203,156.0,2016,Moonee Valley City Council,-37.75582,144.91061000000002,Western Metropolitan,9264
3246,Collingwood,24 Mater St,2,h,1025000,SP,Jellis,3/06/2017,2.0,3066,3,2,1,108,162.0,2005,Yarra City Council,-37.79531,144.9863,Northern Metropolitan,4553
3247,Donvale,9 Kevin Ct,4,h,1025000,PI,Barry,7/10/2017,16.1,3111,4,1,2,718,166.0,1980,Manningham City Council,-37.801109999999994,145.1829,Eastern Metropolitan,4790
3248,Strathmore,56 Hillsyde Pde,3,h,1025000,S,Considine,7/05/2016,9.7,3041,3,2,1,654,180.0,1950,Moonee Valley City Council,-37.7369,144.9251,Western Metropolitan,3284
3249,Yallambie,39 Fahey Cr,4,h,1025000,S,Nelson,19/08/2017,12.7,3085,4,2,2,585,212.0,2014,Banyule City Council,-37.73022,145.08361000000002,Northern Metropolitan,1369
3250,Viewbank,24 Northwood Dr,5,h,1025000,S,Nelson,17/09/2016,13.8,3084,5,3,2,531,233.0,1978,Banyule City Council,-37.7378,145.0955,Eastern Metropolitan,2698
3251,Airport West,78 King St,5,h,1025000,VB,Jellis,20/01/2018,10.4,3042,5,2,3,764,251.0,1980,Moonee Valley City Council,-37.72282,144.88373,Western Metropolitan,3464
3252,Reservoir,19 Wilkinson St,3,h,1025000,S,hockingstuart,3/12/2016,11.2,3073,3,2,2,676,272.0,1950,Darebin City Council,-37.7262,145.0177,Northern Metropolitan,21650
3253,Burwood,2/32 McIntyre St,3,u,1022500,S,Ray,3/12/2016,11.7,3125,3,2,2,265,130.0,2000,Monash City Council,-37.8516,145.1056,Southern Metropolitan,5678
3254,Hawthorn,8/9 Coppin Gr,2,u,1022000,S,Jellis,3/06/2017,5.3,3122,2,1,1,2267,104.0,1930,Boroondara City Council,-37.82193,145.01748999999998,Southern Metropolitan,11308
3255,Strathmore,8 Jones Ct,3,h,1021000,S,Considine,8/04/2017,9.7,3041,3,2,2,371,183.0,2014,Moonee Valley City Council,-37.7229,144.9055,Western Metropolitan,3284
3256,Ivanhoe,24 Dalveen Rd,2,h,1020000,S,Buckingham,10/09/2016,7.9,3079,2,1,1,557,78.0,1955,Banyule City Council,-37.7568,145.0355,Eastern Metropolitan,5549
3257,Northcote,45 Emmaline St,2,h,1020000,S,Nelson,16/04/2016,5.5,3070,2,1,1,354,97.0,1920,Darebin City Council,-37.7638,144.9933,Northern Metropolitan,11364
3258,Ascot Vale,72 Bloomfield Rd,2,h,1020000,PI,Nelson,13/05/2017,5.9,3032,2,1,1,226,98.0,1920,Moonee Valley City Council,-37.7761,144.9165,Western Metropolitan,6567
3259,Prahran,9/305 Dandenong Rd,2,u,1020000,S,hockingstuart,24/06/2017,4.6,3181,2,1,1,0,102.0,1920,Stonnington City Council,-37.85931,145.00616000000002,Southern Metropolitan,7717
3260,Northcote,122 Emmaline St,2,h,1020000,S,Nelson,10/09/2016,5.5,3070,2,1,2,347,115.0,1935,Darebin City Council,-37.763000000000005,144.9886,Northern Metropolitan,11364
3261,Bentleigh East,316 Chesterville Rd,2,h,1020000,VB,Buxton,23/09/2017,13.8,3165,2,1,2,597,115.0,1959,Glen Eira City Council,-37.93574,145.06169,Southern Metropolitan,10969
3262,Forest Hill,52 Parkmore Rd,2,h,1020000,S,Ray,15/07/2017,15.4,3131,2,1,1,581,116.4,1970,Whitehorse City Council,-37.84207,145.17795,Eastern Metropolitan,4385
3263,Brunswick,7 Louisa St,3,h,1020000,SP,Jellis,27/11/2016,5.2,3056,3,1,3,308,119.0,1943,Moreland City Council,-37.7649,144.9641,Northern Metropolitan,11918
3264,Kingsville,11 Wales St,3,h,1020000,SP,Village,10/02/2018,6.4,3012,3,1,0,276,128.0,1910,Maribyrnong City Council,-37.806290000000004,144.88062,Western Metropolitan,1808
3265,Rosanna,109 Ellesmere Pde,3,h,1020000,SP,Miles,17/09/2016,11.4,3084,3,1,2,927,141.0,1960,Banyule City Council,-37.7342,145.0658,Eastern Metropolitan,3540
3266,Bentleigh East,18 Patricia St,3,h,1020000,S,Nick,27/11/2016,13.9,3165,3,1,2,596,144.0,1960,Glen Eira City Council,-37.9251,145.0771,Southern Metropolitan,10969
3267,Templestowe Lower,132 Templestowe Rd,4,h,1020000,S,Barry,27/11/2016,13.8,3107,4,2,2,652,145.0,1965,Manningham City Council,-37.7557,145.0957,Eastern Metropolitan,5420
3268,Preston,6 The Mews,3,h,1020000,VB,Nelson,24/06/2017,8.4,3072,3,3,2,158,159.0,2008,Darebin City Council,-37.75026,144.98428,Northern Metropolitan,14577
3269,Rosanna,101 Ellesmere Pde,4,h,1020000,PI,Fletchers,7/05/2016,11.4,3084,4,2,2,843,181.0,1940,Banyule City Council,-37.7348,145.0656,Eastern Metropolitan,3540
3270,West Footscray,22 Clarendon Pde,6,h,1020000,PI,Alexkarbon,3/12/2016,8.2,3012,6,3,2,554,199.0,1940,Maribyrnong City Council,-37.8053,144.8681,Western Metropolitan,5058
3271,Coburg,17 Quarry Cct,4,h,1020000,PI,Ray,24/06/2017,6.7,3058,4,2,2,441,255.0,2002,Darebin City Council,-37.73572,144.97256000000002,Northern Metropolitan,11204
3272,Coburg,15 Hardwick St,5,h,1020000,PI,Raine,25/02/2017,7.8,3058,5,2,4,381,286.0,1985,Darebin City Council,-37.7492,144.969,Northern Metropolitan,11204
3273,Greenvale,1 Haddington Cr,5,h,1020000,VB,Barry,18/11/2017,20.4,3059,5,2,2,981,301.0,1990,Hume City Council,-37.6529,144.8888,Northern Metropolitan,4864
3274,Fawkner,28 Princess St,5,h,1018000,S,Jellis,17/06/2017,13.1,3060,5,2,2,737,194.0,1990,Hume City Council,-37.717290000000006,144.96403,Northern Metropolitan,5070
3275,Newport,22 Wilkins St,2,h,1017500,S,Williams,14/10/2017,6.2,3015,2,1,1,226,122.0,1890,Hobsons Bay City Council,-37.84668,144.8904,Western Metropolitan,5498
3276,Flemington,80 Dover St,3,t,1017500,S,Jellis,19/08/2017,3.4,3031,3,2,2,459,153.0,2003,Melbourne City Council,-37.78273,144.92358000000002,Northern Metropolitan,3593
3277,Spotswood,27 The Avenue,3,h,1016000,SP,Jas,26/07/2016,7.7,3015,3,1,1,320,134.0,1940,Hobsons Bay City Council,-37.8277,144.8841,Western Metropolitan,1223
3278,Moorabbin,5A William St,4,h,1016000,S,Buxton,11/02/2017,14.6,3189,4,3,2,272,188.0,2000,Kingston City Council,-37.9443,145.0444,Southern Metropolitan,2555
3279,Brunswick East,5 Linden St,2,h,1015000,S,Nelson,13/05/2017,4.5,3057,2,1,0,137,67.0,1890,Moreland City Council,-37.7738,144.9733,Northern Metropolitan,5533
3280,Cremorne,18 Chapel St,2,h,1015000,S,Biggin,16/07/2016,2.5,3121,2,1,1,131,80.0,1890,Yarra City Council,-37.8274,144.9967,Northern Metropolitan,1123
3281,Brunswick,17 Sutherland St,2,h,1015000,S,Nelson,18/03/2017,5.2,3056,2,1,0,453,86.0,1920,Moreland City Council,-37.762,144.9547,Northern Metropolitan,11918
3282,Pascoe Vale,2A Waratah St,4,h,1015000,S,Nelson,6/01/2018,8.5,3044,4,2,2,495,100.0,2014,Moreland City Council,-37.73425,144.94818999999998,Northern Metropolitan,7485
3283,Balaclava,1/34 Gourlay St,2,t,1015000,S,Gary,7/11/2016,6.6,3183,2,1,2,114,120.0,2000,Port Phillip City Council,-37.8723,144.9961,Southern Metropolitan,2952
3284,Moonee Ponds,29 Winchester St,2,h,1015000,S,Nelson,14/05/2016,6.9,3039,2,1,1,228,125.0,1910,Moonee Valley City Council,-37.7685,144.9183,Western Metropolitan,6232
3285,Niddrie,50 Hotham Rd,3,h,1015000,S,Barry,22/08/2016,11.2,3042,3,1,1,643,125.0,1950,Moonee Valley City Council,-37.736,144.8839,Western Metropolitan,2291
3286,Malvern East,10/1810 Malvern Rd,3,t,1015000,S,Marshall,27/11/2016,11.2,3145,3,2,2,0,134.0,2013,Stonnington City Council,-37.8689,145.06,Southern Metropolitan,8801
3287,Reservoir,13 Crawley St,4,h,1015000,S,Barry,8/10/2016,11.2,3073,4,1,1,518,135.0,1920,Darebin City Council,-37.726,145.0044,Northern Metropolitan,21650
3288,Fitzroy North,5/35 Jamieson St,3,t,1015000,S,Collins,8/10/2016,3.5,3068,3,2,1,112,145.0,2000,Moreland City Council,-37.7912,144.9825,Northern Metropolitan,6244
3289,Bentleigh East,3 Belinda Ct,4,h,1015000,S,C21,28/08/2016,13.9,3165,4,2,3,625,198.0,1997,Glen Eira City Council,-37.9374,145.0726,Southern Metropolitan,10969
3290,Brighton East,2a Hurlstone St,2,t,1014000,S,Buxton,30/07/2016,10.7,3187,2,1,1,267,131.0,1990,Bayside City Council,-37.9055,145.0173,Southern Metropolitan,6938
3291,West Melbourne,3/212 Roden St,2,t,1013000,S,Alexkarbon,20/05/2017,1.9,3003,2,2,1,0,130.0,2010,Melbourne City Council,-37.8094,144.9452,Northern Metropolitan,2230
3292,Abbotsford,200 Nicholson St,2,h,1012500,S,Nelson,28/05/2016,2.5,3067,2,1,0,182,82.0,1900,Yarra City Council,-37.8021,144.9976,Northern Metropolitan,4019
3293,Flemington,61 Canterbury St,3,h,1012000,S,Australian,13/08/2016,4.4,3031,3,1,1,212,102.0,1930,Melbourne City Council,-37.7818,144.9247,Northern Metropolitan,3593
3294,Rosanna,51 Davies St,3,h,1012000,S,Fletchers,17/09/2016,11.4,3084,3,2,1,323,142.0,2015,Banyule City Council,-37.7359,145.0614,Eastern Metropolitan,3540
3295,Epping,4 Nuthall Wy,4,h,1012000,S,Iconek,15/07/2017,19.6,3076,4,3,3,631,355.0,2009,Whittlesea City Council,-37.6246,145.01686,Northern Metropolitan,10926
3296,Brunswick,11 Bennie St,2,h,1011000,S,Nelson,6/01/2018,5.2,3056,2,1,1,178,75.0,1900,Moreland City Council,-37.76685,144.96615,Northern Metropolitan,11918
3297,Forest Hill,19 Victor Cr,3,h,1011000,S,McGrath,22/07/2017,15.4,3131,3,1,1,590,114.0,1960,Whitehorse City Council,-37.84308,145.168,Eastern Metropolitan,4385
3298,Mount Waverley,2/36 Swayfield Rd,3,t,1011000,S,McGrath,3/06/2017,14.2,3149,3,2,2,297,135.0,2001,Monash City Council,-37.8605,145.12853,Eastern Metropolitan,13366
3299,Coburg North,17 Delta Av,4,h,1011000,S,Nelson,29/07/2017,6.7,3058,4,2,2,500,145.0,1930,Darebin City Council,-37.72165,144.95853,Northern Metropolitan,3445
3300,Carlton,100 Faraday St,2,h,1010000,S,Jellis,18/03/2017,1.8,3053,2,1,0,101,60.0,1880,Melbourne City Council,-37.7989,144.9713,Northern Metropolitan,6786
3301,Seddon,1 Florence St,3,h,1010000,SP,hockingstuart,21/10/2017,5.1,3011,3,1,0,436,92.0,1910,Maribyrnong City Council,-37.808679999999995,144.88483,Western Metropolitan,2417
3302,North Melbourne,18 Melrose St,2,h,1010000,S,Jellis,19/11/2016,2.3,3051,2,2,0,109,100.0,1900,Melbourne City Council,-37.795,144.942,Northern Metropolitan,6821
3303,Kensington,67 Collett St,3,h,1010000,PI,Edward,7/05/2016,4.2,3031,3,1,0,234,104.0,1900,Melbourne City Council,-37.7923,144.9332,Northern Metropolitan,5263
3304,Richmond,247 Church St,3,h,1010000,PI,Jellis,4/06/2016,2.6,3121,3,1,1,199,105.0,1900,Yarra City Council,-37.8193,144.9993,Northern Metropolitan,14949
3305,Toorak,2/619 Toorak Rd,2,u,1010000,PI,Marshall,8/04/2017,4.6,3142,2,2,2,586,119.0,1990,Stonnington City Council,-37.8427,145.0236,Southern Metropolitan,7217
3306,Northcote,1/78 Helen St,3,h,1010000,S,Nelson,15/10/2016,5.5,3070,3,1,1,178,124.0,2000,Darebin City Council,-37.771,144.9974,Northern Metropolitan,11364
3307,Ascot Vale,75B Bloomfield Rd,3,h,1010000,S,Brad,24/06/2017,4.3,3032,3,2,1,150,125.0,1990,Moonee Valley City Council,-37.77639,144.91666,Western Metropolitan,6567
3308,Frankston,7 Orrong Av,3,h,1010000,S,Ray,9/09/2017,38.0,3199,3,2,2,306,125.0,1970,Frankston City Council,-38.1386,145.12142,South-Eastern Metropolitan,17055
3309,Brunswick West,59 Daly St,3,h,1010000,PI,Nelson,17/06/2017,5.2,3055,3,2,4,413,126.0,1910,Moreland City Council,-37.76545,144.94442,Northern Metropolitan,7082
3310,West Melbourne,44 Anderson St,3,t,1010000,S,Jellis,3/09/2016,1.9,3003,3,3,2,0,132.0,1940,Melbourne City Council,-37.8048,144.9424,Northern Metropolitan,2230
3311,Brunswick East,1/10 Linden St,3,t,1010000,S,Nelson,23/04/2016,4.5,3057,3,2,1,0,133.0,2014,Moreland City Council,-37.774,144.9731,Northern Metropolitan,5533
3312,Mitcham,37 Purches St,3,h,1010000,S,Noel,26/08/2017,17.2,3132,3,2,2,672,136.0,1970,Whitehorse City Council,-37.8236,145.20898,Eastern Metropolitan,6871
3313,Cremorne,175 Dover St,2,t,1010000,S,hockingstuart,24/09/2016,2.5,3121,2,1,1,151,151.0,1998,Yarra City Council,-37.8311,144.9914,Northern Metropolitan,1123
3314,Viewbank,42 Graham Rd,4,h,1010000,S,Miles,3/12/2016,13.8,3084,4,3,2,669,163.0,1960,Banyule City Council,-37.7419,145.083,Eastern Metropolitan,2698
3315,Templestowe Lower,13 Tasker St,3,h,1010000,S,Barry,16/04/2016,13.8,3107,3,2,2,751,175.0,1968,Manningham City Council,-37.77,145.1025,Eastern Metropolitan,5420
3316,Templestowe Lower,1/285 Thompsons Rd,4,t,1010000,S,Jellis,3/06/2017,12.4,3107,4,3,2,332,198.0,2013,Manningham City Council,-37.76577,145.10728999999998,Eastern Metropolitan,5420
3317,Williamstown,20 Proctor St,3,h,1010000,S,Raine,13/08/2016,8.0,3016,3,2,2,418,204.0,1995,Hobsons Bay City Council,-37.8571,144.8767,Western Metropolitan,6380
3318,Keilor East,4 Trent Ct,4,h,1010000,S,Barry,14/05/2016,12.8,3033,4,2,2,776,268.0,1980,Brimbank City Council,-37.7502,144.8745,Western Metropolitan,5629
3319,Fawkner,13 Brockley Rd,4,h,1010000,S,Stockdale,28/05/2016,12.4,3060,4,2,2,607,338.0,2015,Hume City Council,-37.716,144.9663,Northern Metropolitan,5070
3320,Viewbank,2 Country La,3,h,1009000,S,Jellis,16/09/2017,8.9,3084,3,2,2,663,136.0,1980,Banyule City Council,-37.7417,145.0958,Eastern Metropolitan,2698
3321,Fitzroy North,92 Scotchmer St,2,h,1008000,S,LITTLE,6/08/2016,3.5,3068,2,1,1,150,77.0,1890,Moreland City Council,-37.7833,144.9819,Northern Metropolitan,6244
3322,Coburg,2 Franklin St,2,h,1008000,S,Jellis,24/09/2016,7.8,3058,2,1,3,457,89.0,1940,Darebin City Council,-37.7505,144.9725,Northern Metropolitan,11204
3323,Carnegie,78b Miller St,3,u,1008000,S,Woodards,7/11/2016,11.4,3163,3,2,1,300,130.0,1990,Glen Eira City Council,-37.8974,145.0539,Southern Metropolitan,7822
3324,Moorabbin,51 Clay St,3,h,1008000,S,McGrath,27/06/2016,14.6,3189,3,2,1,1660,160.0,1960,Kingston City Council,-37.9354,145.0464,Southern Metropolitan,2555
3325,Kew,3/33 Parkhill Rd,3,t,1007000,S,Nelson,12/08/2017,5.4,3101,3,2,1,0,114.0,1977,Boroondara City Council,-37.80495,145.04949,Southern Metropolitan,10331
3326,Elsternwick,5/39 Horne St,4,h,1007000,S,Pride,22/05/2016,8.5,3185,4,2,2,125,200.0,2000,Glen Eira City Council,-37.8855,145.001,Southern Metropolitan,4898
3327,Niddrie,64 Muriel St,4,h,1006000,S,Brad,22/07/2017,10.4,3042,4,2,1,270,178.74,2008,Moonee Valley City Council,-37.74266,144.88577,Western Metropolitan,2291
3328,Rowville,15 Ada St,4,h,1005800,SP,Jellis,17/06/2017,23.5,3178,4,2,2,502,320.0,2003,Knox City Council,-37.92985,145.25184,South-Eastern Metropolitan,11667
3329,Brunswick,69 Mitchell St,2,h,1005000,S,Nelson,10/02/2018,5.2,3056,2,1,1,140,68.0,1890,Moreland City Council,-37.75908,144.96958999999998,Northern Metropolitan,11918
3330,Maidstone,12 Inkerman St,3,h,1005000,S,Sweeney,22/07/2017,6.4,3012,3,1,5,653,109.0,1930,Maribyrnong City Council,-37.786390000000004,144.88214,Western Metropolitan,3873
3331,Altona,70 Purnell St,3,h,1005000,S,Barlow,27/05/2017,11.0,3018,3,1,4,575,112.0,1960,Hobsons Bay City Council,-37.86715,144.80612,Western Metropolitan,5301
3332,Yarraville,59 Gent St,3,h,1005000,S,Sweeney,16/07/2016,7.0,3013,3,1,1,438,115.0,1960,Maribyrnong City Council,-37.8177,144.8711,Western Metropolitan,6543
3333,Coburg,34 Reynard St,4,h,1005000,S,Nelson,20/05/2017,7.8,3058,4,2,1,172,135.0,1900,Darebin City Council,-37.7483,144.9634,Northern Metropolitan,11204
3334,Brooklyn,6 Millers Rd,2,h,1005000,S,hockingstuart,22/04/2017,10.9,3012,2,1,2,780,156.0,1950,Brimbank City Council,-37.8241,144.8419,Western Metropolitan,962
3335,Keilor East,71 Nyah St,5,h,1005000,SA,Nelson,8/07/2017,11.7,3033,5,3,2,596,176.0,1970,Brimbank City Council,-37.7305,144.86863,Western Metropolitan,5629
3336,Viewbank,20 Robern Pde,4,h,1005000,S,Darren,7/11/2016,13.8,3084,4,2,1,696,183.0,1950,Banyule City Council,-37.7395,145.0875,Eastern Metropolitan,2698
3337,Bentleigh East,11b Lilac St,4,t,1005000,SP,Woodards,16/07/2016,13.9,3165,4,2,2,296,205.0,2006,Glen Eira City Council,-37.9197,145.05700000000002,Southern Metropolitan,10969
3338,Reservoir,31 Powell St,3,h,1005000,S,Harcourts,4/03/2017,11.2,3073,3,2,4,466,467.0,1930,Darebin City Council,-37.7266,145.0004,Northern Metropolitan,21650
3339,Clayton,324 Haughton Rd,3,h,1004000,S,Woodards,28/10/2017,16.7,3168,3,1,1,852,117.0,1950,Monash City Council,-37.91883,145.11209,South-Eastern Metropolitan,5837
3340,Hampton,24A Smith St,3,h,1003500,S,Ray,3/12/2016,13.7,3188,3,1,2,289,109.0,1998,Bayside City Council,-37.9338,145.0226,Southern Metropolitan,5454
3341,Footscray,9 Lynch St,3,h,1003000,S,Naison,3/12/2016,6.4,3011,3,1,1,292,98.0,1900,Maribyrnong City Council,-37.797,144.9051,Western Metropolitan,7570
3342,Wantirna,18 Wondalea Cr,4,h,1003000,S,iTRAK,14/10/2017,14.7,3152,4,2,2,645,250.0,1988,Knox City Council,-37.85823,145.21613,Eastern Metropolitan,5424
3343,Chadstone,5 Bullarto St,2,h,1002000,S,Ray,13/08/2016,13.6,3148,2,1,1,585,97.0,1950,Monash City Council,-37.8792,145.0948,Southern Metropolitan,3582
3344,Nunawading,8 Olwen St,3,h,1002000,S,Fletchers,8/07/2017,15.4,3131,3,1,2,598,143.0,1960,Manningham City Council,-37.80827,145.17885,Eastern Metropolitan,4973
3345,Templestowe Lower,15 Killarney Rd,3,h,1002000,S,Barry,24/09/2016,13.8,3107,3,1,2,799,174.0,1960,Manningham City Council,-37.7698,145.1028,Eastern Metropolitan,5420
3346,Caulfield South,30 Cedar St,2,h,1001000,S,Biggin,26/07/2016,9.3,3162,2,2,1,255,85.0,1890,Glen Eira City Council,-37.8887,145.0207,Southern Metropolitan,5051
3347,Mulgrave,5 Grainger Ct,3,h,1001000,S,Harcourts,29/07/2017,18.8,3170,3,1,2,727,168.0,1970,Monash City Council,-37.9128,145.16152,South-Eastern Metropolitan,7113
3348,Heidelberg Heights,11 Sackville St,4,h,1000500,S,Miles,30/07/2016,10.5,3081,4,2,1,592,191.0,1950,Banyule City Council,-37.7478,145.0477,Eastern Metropolitan,2947
3349,Airport West,34 Green St,3,h,1000001,S,Nelson,9/09/2017,10.4,3042,3,2,1,697,163.0,2017,Moonee Valley City Council,-37.728120000000004,144.88735,Western Metropolitan,3464
3350,Prahran,5 Bayview St,2,h,1000000,PI,hockingstuart,11/11/2017,4.6,3181,2,1,0,115,68.0,1890,Stonnington City Council,-37.8518,145.0032,Southern Metropolitan,7717
3351,Carlton,254 Elgin St,3,h,1000000,PI,Jellis,24/06/2017,1.6,3053,3,1,0,96,80.0,1910,Melbourne City Council,-37.79674,144.96563,Northern Metropolitan,6786
3352,Collingwood,5 Charlotte St,2,h,1000000,SP,Peter,19/11/2016,1.6,3066,2,1,2,159,86.0,1880,Yarra City Council,-37.7962,144.9887,Northern Metropolitan,4553
3353,Hawthorn,1/514 Glenferrie Rd,3,u,1000000,S,Jellis,1/07/2017,5.3,3122,3,1,1,1079,90.0,1940,Boroondara City Council,-37.82987,145.03421,Southern Metropolitan,11308
3354,Port Melbourne,346 Princes St,3,h,1000000,S,Cayzer,9/09/2017,3.5,3207,3,1,0,99,96.0,1890,Melbourne City Council,-37.83509,144.94286,Southern Metropolitan,8648
3355,Abbotsford,132 Vere St,3,h,1000000,SP,Biggin,8/04/2017,2.5,3067,3,1,0,198,98.0,1900,Yarra City Council,-37.8025,144.9939,Northern Metropolitan,4019
3356,Bentleigh East,2 Warwick St,3,h,1000000,S,Jellis,14/10/2017,13.8,3165,3,2,3,402,99.0,1970,Glen Eira City Council,-37.92066,145.0669,Southern Metropolitan,10969
3357,Chadstone,23 Jacana St,3,h,1000000,SP,Thomson,27/11/2016,13.6,3148,3,1,2,630,105.0,1960,Monash City Council,-37.8838,145.102,Southern Metropolitan,3582
3358,Yarraville,5 Hood St,2,h,1000000,VB,Village,4/03/2017,7.0,3013,2,1,1,220,105.0,1910,Maribyrnong City Council,-37.8115,144.8875,Western Metropolitan,6543
3359,Brunswick West,30 Cornwall St,3,h,1000000,SP,Woodards,23/09/2017,5.2,3055,3,1,2,399,105.0,1950,Moreland City Council,-37.75744,144.94945,Northern Metropolitan,7082
3360,Port Melbourne,106 Ross St,2,h,1000000,VB,Marshall,7/05/2016,3.8,3207,2,1,1,90,106.0,2007,Melbourne City Council,-37.8357,144.9376,Southern Metropolitan,8648
